,IDENTIFIER,LATEST ADMISSION DATE,RACE,GENDER,OFFENSE,Year
145,ZZRSZJEE,01/10/2018,BLACK,M,OTHERS,2018
146,ZZHCJBHC,01/11/2018,WHITE,M,OTHERS,2018
147,ZZHSEJHR,01/11/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
148,ZZSEJZBL,01/11/2018,HISPANIC,M,OTHERS,2018
149,ZZHSCLBB,01/11/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
150,ZZRRWJJR,01/11/2018,BLACK,M,OTHERS,2018
151,ZZRWZBWR,01/11/2018,HISPANIC,M,OTHERS,2018
152,ZZSRSZSW,01/10/2018,WHITE,M,INJURY OR RISK OF INJURY TO MINOR      F,2018
153,ZZHZWLSE,01/11/2018,WHITE,F,OTHERS,2018
154,ZZHRBZRC,01/11/2018,HISPANIC,M,OTHERS,2018
155,ZZSRSZCE,01/11/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018
156,ZZHBLLBC,01/11/2018,WHITE,M,OTHERS,2018
157,ZZSRZCHS,01/11/2018,WHITE,M,"ASSAULT, THIRD DEGREE                 AM",2018
158,ZZSRSZWJ,01/11/2018,ASIAN,M,INJURY OR RISK OF INJURY TO MINOR      F,2018
159,ZZHBCRCC,01/11/2018,WHITE,M,OTHERS,2018
160,ZZRRZLHB,01/12/2018,BLACK,M,"BURGLARY, THIRD DEGREE                DF",2018
161,ZZSRSZCW,01/12/2018,WHITE,M,OTHERS,2018
162,ZZSEWWJR,01/12/2018,HISPANIC,M,OTHERS,2018
163,ZZSECRWS,01/12/2018,WHITE,M,OTHERS,2018
164,ZZELEWJC,01/12/2018,WHITE,F,OTHERS,2018
165,ZZSRSZBJ,01/12/2018,BLACK,M,OTHERS,2018
166,ZZHSHZCH,01/12/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
167,ZZRJBZBB,01/12/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018
168,ZZSRSZBW,01/12/2018,WHITE,M,OTHERS,2018
169,ZZHCSLRW,01/12/2018,HISPANIC,M,OTHERS,2018
170,ZZRJSEHS,01/12/2018,BLACK,M,OTHERS,2018
171,ZZSZLESJ,01/12/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018
172,ZZRBEZLL,01/12/2018,BLACK,F,VIOLATION OF PROBATION OR COND DISCHG,2018
173,ZZSRSZER,01/08/2018,HISPANIC,F,OTHERS,2018
174,ZZSRZZCS,01/12/2018,HISPANIC,M,OTHERS,2018
175,ZZRWJRLS,01/12/2018,BLACK,M,OTHERS,2018
176,ZZSEJLEZ,01/12/2018,HISPANIC,M,OTHERS,2018
177,ZZEZCHBL,01/12/2018,BLACK,M,OTHERS,2018
178,ZZRLSSSC,01/12/2018,WHITE,M,OTHERS,2018
179,ZZHSJJRH,01/12/2018,BLACK,M,OTHERS,2018
180,ZZSZSWBJ,01/12/2018,WHITE,M,OTHERS,2018
181,ZZHBSZJW,01/12/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
182,ZZSRHJRE,01/02/2018,BLACK,M,OTHERS,2018
183,ZZSRSZCB,01/12/2018,BLACK,M,OTHERS,2018
184,ZZHWZHZE,01/12/2018,WHITE,M,OTHERS,2018
185,ZZSRSZBL,01/12/2018,HISPANIC,M,OTHERS,2018
186,ZZRJLJRS,01/12/2018,WHITE,M,OTHERS,2018
187,ZZSZWJRC,01/12/2018,BLACK,M,OTHERS,2018
188,ZZSRRHWE,01/12/2018,BLACK,M,OTHERS,2018
189,ZZRBCCWW,01/12/2018,HISPANIC,M,OTHERS,2018
190,ZZHCCZZS,01/15/2018,WHITE,F,OTHERS,2018
191,ZZRCZCHH,01/16/2018,WHITE,M,OTHERS,2018
192,ZZHSLJEB,01/16/2018,BLACK,M,OTHERS,2018
193,ZZRLRHEB,01/10/2018,BLACK,M,OTHERS,2018
194,ZZHJEELR,01/02/2018,WHITE,M,OTHERS,2018
195,ZZSRSEHZ,01/16/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018
196,ZZSRHJRE,01/02/2018,BLACK,M,OTHERS,2018
197,ZZHWZHZE,01/12/2018,WHITE,M,OTHERS,2018
198,ZZRJSBWW,01/16/2018,HISPANIC,M,OTHERS,2018
199,ZZSRSEEW,01/16/2018,HISPANIC,M,OTHERS,2018
200,ZZHHHZSJ,01/16/2018,WHITE,M,OTHERS,2018
201,ZZHLESRB,01/16/2018,WHITE,M,OTHERS,2018
202,ZZHCJSHB,01/16/2018,HISPANIC,M,OTHERS,2018
203,ZZEWSBHR,01/16/2018,BLACK,M,OTHERS,2018
204,ZZSEEWEW,01/16/2018,WHITE,F,OTHERS,2018
205,ZZSRSEEH,01/16/2018,WHITE,M,OTHERS,2018
206,ZZRBZCHH,01/03/2018,WHITE,M,"ASSAULT, THIRD DEGREE                 AM",2018
207,ZZHCZHHC,01/11/2018,BLACK,M,OTHERS,2018
208,ZZHRCEHC,01/17/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
209,ZZHCJSHB,01/16/2018,HISPANIC,M,OTHERS,2018
210,ZZSRSEHW,01/17/2018,WHITE,M,OTHERS,2018
211,ZZRCSLBW,01/08/2018,WHITE,M,OTHERS,2018
212,ZZRZSBJE,01/17/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
213,ZZSREZZR,01/16/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
214,ZZHSZLSW,01/17/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
