,IDENTIFIER,LATEST ADMISSION DATE,RACE,GENDER,OFFENSE,Year
10395,ZZHLSLLC,08/24/2018,BLACK,M,OTHERS,2018
10396,ZZSRHRZC,08/24/2018,BLACK,M,OTHERS,2018
10397,ZZSRCRLE,08/24/2018,BLACK,M,OTHERS,2018
10398,ZZSRCRWB,08/24/2018,WHITE,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018
10399,ZZRSSERB,08/24/2018,BLACK,M,OTHERS,2018
10400,ZZRSZBLW,08/24/2018,HISPANIC,M,OTHERS,2018
10401,ZZSRCRLW,08/24/2018,HISPANIC,F,INJURY OR RISK OF INJURY TO MINOR      F,2018
10402,ZZSRCRLL,08/24/2018,BLACK,F,OTHERS,2018
10403,ZZRRBLRS,08/24/2018,HISPANIC,M,OTHERS,2018
10404,ZZSZCLLH,08/24/2018,WHITE,F,OTHERS,2018
10405,ZZHEJEBL,08/24/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10406,ZZSRCRWS,08/24/2018,BLACK,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018
10407,ZZHBRRWW,08/22/2018,WHITE,F,CRIM VIOL OF PROTECTIVE ORDER         DF,2018
10408,ZZSRCRLZ,08/24/2018,BLACK,F,INJURY OR RISK OF INJURY TO MINOR      F,2018
10409,ZZSRZLJE,08/24/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018
10410,ZZRWJBCL,08/24/2018,WHITE,M,OTHERS,2018
10411,ZZHBWBJB,08/24/2018,HISPANIC,F,OTHERS,2018
10412,ZZHRBZEJ,08/24/2018,WHITE,F,OTHERS,2018
10413,ZZSRSCBL,08/24/2018,WHITE,M,OTHERS,2018
10414,ZZSELRSJ,08/24/2018,HISPANIC,M,OTHERS,2018
10415,ZZSRHCCR,08/24/2018,WHITE,M,OTHERS,2018
10416,ZZRHBZJS,08/24/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018
10417,ZZHWHCER,08/24/2018,WHITE,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018
10418,ZZRSSZBS,08/24/2018,WHITE,M,OTHERS,2018
10419,ZZSRCRWC,08/24/2018,HISPANIC,M,OTHERS,2018
10420,ZZEERLCZ,08/24/2018,BLACK,M,OTHERS,2018
